name,sector,founded,headquarters,founders,country,amount_raised_inr,state
#Fame,Enterprise Tech,2014.0,Mumbai,"Saket Saurabh,Puneet Johar",India,"Rs 830,000,000.0",Maharashtra
&ME,Ecommerce,2017.0,Bengaluru,"Ankur Goyal,Sheta Mittal",India,"Rs 97,940,000.0",Karnataka
1 India Family Mart,Ecommerce,2013.0,New Delhi,"Jay Prakash Shukla, Ravinder Singh",India,"Rs 1,385,270,000.0",Delhi
100 Marks,Edtech,2011.0,Gurugram,"Anushri Kocher, Pradeep Kumar",India,,Haryana
100Krafts,Real Estate Tech,2013.0,Bengaluru,Ravi Roshan,India,,Karnataka
10Club,Ecommerce,2021.0,Bengaluru,"Bhavna Suresh Chatambeth, Deepak Nair",India,"Rs 5,810,000,000.0",Karnataka
10times,Media & Entertainment,2014.0,New Delhi,"Ashwani Gaur, Atul Todi, Mayank Chowdhary",India,,Delhi
10x Academy,Edtech,2020.0,Hyderabad,"Sai Reddy R, Sailesh Ramayanam, Siva Mannam",India,,Telangana
11ZA,Enterprise Tech,2022.0,Surat,,India,,Gujarat
121Policy,Fintech,2005.0,Kolkata,"Rahul Agarwal,Sandeep Modi",India,,West Bengal
13SQFT,Logistics,2019.0,Gurugram,"Alok Bansal,Payal Chaudhary",India,"Rs 83,000,000.0",Haryana
18startup,Edtech,2023.0,Bardez,"Prakash Balasubramanian, Teja Surishetti, Zeeshan Mohammed",India,,Goa
19thMile,Enterprise Tech,2015.0,Gurugram,Vijay Gogoi,India,,Haryana
1Bridge,Logistics,2016.0,Bengaluru,"Anil Kumar Ghildiyal, M Chakrawarty, Madan Padaki",India,"Rs 247,340,000.0",Karnataka
1CLICK,Enterprise Tech,2012.0,Bengaluru,Hrishikesh Kulkarni,India,,Karnataka
1Crowd,Fintech,2015.0,Mumbai,"Anil Gudibande, Anup Kuruvilla",India,"Rs 290,500,000.0",Maharashtra
1K Kirana Bazaar,Ecommerce,2018.0,Gurugram,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh, Manish Kutaula, Sachin Sharma",India,"Rs 5,062,170,000.0",Haryana
1MG,Health Tech,2015.0,Gurugram,"Akash Deep Singhal, Gaurav Agarwal, Prashant Tandon, Vikas Chauhan",India,"Rs 15,803,200,000.0",Haryana
1SpecialPlace,Edtech,2014.0,Dehradun,"Pratiksha Gupta, Aditya Agarwal",India,,Uttarakhand
1Zero1,Ecommerce,2022.0,Bhubaneswar,,India,,Odisha
2070 Health,Enterprise Tech,2023.0,Mumbai,,India,"Rs 2,490,000,000.0",Maharashtra
20Dresses,Ecommerce,2012.0,Mumbai,Sumant Kasliwal,India,"Rs 83,000,000.0",Maharashtra
21K School,Edtech,2020.0,Bengaluru,"Dinesh Kumar, Joshi Kumar, Santosh Kumar, Yeshwanth Raj Parasmal",India,"Rs 415,000,000.0",Karnataka
30 Sundays,Travel Tech,2024.0,Gurugram,"Anuj Punjani, Jaikishan Dulani, Kshitij Chaudhary, Sumit Mishra",India,,Haryana
30M Genomics,Health Tech,2019.0,Hyderabad,Pavani Pavuluri,India,,Telangana
315Work Avenue,Real Estate Tech,2018.0,Bengaluru,"Manas Mehrotra, Prachi Mehrotra",India,,Karnataka
33Coupons,Ecommerce,2015.0,Kanpur,Sanjeev Kumar,India,,Uttar Pradesh
360Ride,,2012.0,Bengaluru,"Lokesh Bevara, Varaprasad Moida",India,,Karnataka
