name,sector,founded,amount_raised,headquarters,founders,country
#Fame,Enterprise Tech,2014.0,$10.00 Mn+,Mumbai,"Saket Saurabh,Puneet Johar",India
&ME,Ecommerce,2017.0,$1.18 Mn+,Bengaluru,"Ankur Goyal,Sheta Mittal",India
1 India Family Mart,Ecommerce,2013.0,$16.69 Mn+,New Delhi,"Jay Prakash Shukla, Ravinder Singh",India
100 Marks,Edtech,2011.0,,Gurugram,"Anushri Kocher, Pradeep Kumar",India
100Krafts,Real Estate Tech,2013.0,,Bengaluru,Ravi Roshan,India
10Club,Ecommerce,2021.0,$70.00 Mn+,Bengaluru,"Bhavna Suresh Chatambeth, Deepak Nair",India
10times,Media & Entertainment,2014.0,,New Delhi,"Ashwani Gaur, Atul Todi, Mayank Chowdhary",India
10x Academy,Edtech,2020.0,,Hyderabad,"Sai Reddy R, Sailesh Ramayanam, Siva Mannam",India
11ZA,Enterprise Tech,2022.0,,Surat,,India
121Policy,Fintech,2005.0,,Kolkata,"Rahul Agarwal,Sandeep Modi",India
13SQFT,Logistics,2019.0,$1.00 Mn+,Gurugram,"Alok Bansal,Payal Chaudhary",India
18startup,Edtech,2023.0,,Bardez,"Prakash Balasubramanian, Teja Surishetti, Zeeshan Mohammed",India
19thMile,Enterprise Tech,2015.0,$180.00K+,Gurugram,Vijay Gogoi,India
1Bridge,Logistics,2016.0,$2.98 Mn+,Bengaluru,"Anil Kumar Ghildiyal, M Chakrawarty, Madan Padaki",India
1CLICK,Enterprise Tech,2012.0,,Bengaluru,Hrishikesh Kulkarni,India
1Crowd,Fintech,2015.0,$3.50 Mn+,Mumbai,"Anil Gudibande, Anup Kuruvilla",India
1K Kirana Bazaar,Ecommerce,2018.0,$60.99 Mn+,Gurugram,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh, Manish Kutaula, Sachin Sharma",India
1MG,Health Tech,2015.0,$190.40 Mn+,Gurugram,"Akash Deep Singhal, Gaurav Agarwal, Prashant Tandon, Vikas Chauhan",India
1SpecialPlace,Edtech,2014.0,,Dehradun,"Pratiksha Gupta, Aditya Agarwal",India
1Zero1,Ecommerce,2022.0,,Bhubaneswar,,India
2070 Health,Enterprise Tech,2023.0,$30.00 Mn+,Mumbai,,India
20Dresses,Ecommerce,2012.0,$1.00 Mn+,Mumbai,Sumant Kasliwal,India
21K School,Edtech,2020.0,$5.00 Mn+,Bengaluru,"Dinesh Kumar, Joshi Kumar, Santosh Kumar, Yeshwanth Raj Parasmal",India
30 Sundays,Travel Tech,2024.0,$770.00K+,Gurugram,"Anuj Punjani, Jaikishan Dulani, Kshitij Chaudhary, Sumit Mishra",India
30M Genomics,Health Tech,2019.0,,Hyderabad,Pavani Pavuluri,India
315Work Avenue,Real Estate Tech,2018.0,,Bengaluru,"Manas Mehrotra, Prachi Mehrotra",India
33Coupons,Ecommerce,2015.0,$20.00K+,Kanpur,Sanjeev Kumar,India
360Ride,,2012.0,$149.70K+,Bengaluru,"Lokesh Bevara, Varaprasad Moida",India
3CIT Solution,Enterprise Services,2015.0,,Pune,Ranjit Kulladhaja Mayengbam,India
3Dexter,Edtech,2015.0,$150.00K+,New Delhi,"Naman Singhal, Nikunj Singhal, Parth Batra, Raunak Singhi, Shantanu Kwatra, Smarth Vasdev, Tushar Goyal",India
3EV Industries,Clean Tech,2019.0,$17.57 Mn+,Bengaluru,Peter Hartmut Voelkner,India
