name,sector,founded,amount_raised,headquarters,founders,country
10Club,Ecommerce,2021,$70.00 Mn+,Bengaluru,"Bhavna Suresh Chatambeth, Deepak Nair",India
1K Kirana Bazaar,Ecommerce,2018,$60.99 Mn+,Gurugram,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh, Manish Kutaula, Sachin Sharma",India
1MG,Health Tech,2015,$190.40 Mn+,Gurugram,"Akash Deep Singhal, Gaurav Agarwal, Prashant Tandon, Vikas Chauhan",India
ACME Solar,Clean Tech,2003,$676.30 Mn+,Gurugram,Manoj Upadhyay,India
ACT Fibernet,Enterprise Tech,2008,$500.00 Mn+,Bengaluru,Sunder Raju,India
AU Small Finance Bank,Fintech,2017,$542.25 Mn+,Jaipur,Sanjay Agarwal,India
Aadhar Housing Finance,Fintech,2010,$75.00 Mn+,Mumbai,Kapil Wadhawan,India
Aakash Educational Services,Edtech,1988,$490.68 Mn+,New Delhi,"Aakash Chaudhry, J. C. Chaudhry",India
Aavas Financiers,Fintech,2011,$78.54 Mn+,Jaipur,Sushil Kumar Agarwal,India
Absolute,Agritech,2015,$102.26 Mn+,New Delhi,Agam Khare,India
Accion Labs,Enterprise Tech,2011,$93.00 Mn+,Mumbai,"Kinesh Doshi,Sandesh Sukumaran,Tony Kernan",India
Accumax,Health Tech,2003,$68.00 Mn+,Gandhinagar,"Chirag Shah,Tejas Shah",India
Ace Turtle,Enterprise Tech,2014,$48.41 Mn+,Bengaluru,"Berry Singh, Nitin Chhabra",India
Acko,Fintech,2016,$595.00 Mn+,Bengaluru,"Ruchi Deepak, Varun Dua",India
AdOnMo,Enterprise Tech,2017,$50.00 Mn+,Hyderabad,"Sandeep Bommireddi, Sravanth Gajula",India
Adda247,Edtech,2016,$61.00 Mn+,Gurugram,"Anil Nagar, Saurabh Bansal",India
Aequs,Enterprise Services,2006,$81.40 Mn+,Belgaum,Aravind Melligeri,India
Agilitas Sports,Ecommerce,2023,$64.01 Mn+,Bengaluru,"Abhishek Ganguly,Amit Prabhu,Atul Baja",India
Agnikul,Advanced Hardware & Technology,2017,$61.24 Mn+,Chennai,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran",India
AgroStar,Agritech,2013,$111.50 Mn+,Pune,"Shardul Sheth, Sitanshu Sheth",India
Aknamed,Enterprise Tech,2018,$56.67 Mn+,Bengaluru,"Mayank Kapoor, Saurabh Pandey, Varun Vohra",India
Alienkind,Foodtech,2024,$1.20 Mn+,Bengaluru,"Vikram Kakkireni,Abhishek Kumar",India
Altigreen,Clean Tech,2013,$41.71 Mn+,Bengaluru,"Amitabh Saran, Lasse Moklegaard, Shalendra Gupta",India
Altum Credo,Fintech,2016,$61.62 Mn+,Pune,"Ashish Tiwari, Ganesh Rao, Vikrant Bhagwat",India
Amagi,Media & Entertainment,2008,$345.20 Mn+,Bengaluru,"Baskar Subramanian, Srinivasan KA, Srividhya Srinivasan",India
Ambit Finvest,Fintech,2006,$49.80 Mn+,Mumbai,Sanjay Agarwal,India
Amicco,Ecommerce,2024,$1.00 Mn+,Gurugram,Vivek Aalok,India
AmpIn Energy Transition,Clean Tech,2016,$438.30 Mn+,New Delhi,Pinaki Bhattacharyya,India
Antithesis,Ecommerce,2024,$584.04K+,New Delhi,Aparna Saxena,India
AppsForBharat,Consumer Services,2020,$37.54 Mn+,Bengaluru,Prashant Sachan,India
Ariisto,Real Estate Tech,2006,$129.00 Mn+,Andheri,Madhur Gupta,India
Arohan Financial,Fintech,2006,$64.05 Mn+,Kolkata,"Shubhankar Sengupta, Vineet Rai",India
Arrivae,Real Estate Tech,2017,$26.19 Mn+,Mumbai,Yash Kela,India
Arva Health,Health Tech,2022,$1.00 Mn+,Bengaluru,"Dipalie Bajaj, Nidhi Panchmal",India
Arvind Internet,Enterprise Tech,1931,$144.60 Mn+,Ahmedabad,"Arvind Narottambhai Lalbhai, Kasturbhai Lalbhai",India
Arya.Ag,Agritech,1982,$118.93 Mn+,Noida,"Prasanna Rao,Anand Chandra,Chattanathan Devarajan",India
Aryaka,Enterprise Tech,2009,$175.00 Mn+,Bengaluru,"Ajit Gupta, Ashwath Nagaraj, Rajeev Bharadhwaj",India
Arzooo,Ecommerce,2018,$84.50 Mn+,Bengaluru,"Khushnud Khan, Rishi Raj Rathore",India
Asirvad Microfinance,Fintech,2007,$53.26 Mn+,Chennai,S V Raja Vaidyanathan,India
AskMyGuru,Consumer Services,2024,$1.20 Mn+,Bengaluru,"Krishna Mohan Vedula,Vivek Sadamate",India
Ather Energy,Clean Tech,2013,$630.91 Mn+,Bengaluru,"Swapnil Jain, Tarun Mehta",India
Atomberg Technology,Ecommerce,2012,$126.49 Mn+,Navi Mumbai,"Manoj Meena, Sibabrata Das",India
Attero,Clean Tech,2008,$37.40 Mn+,Noida,Nitin Gupta,India
AutoGrid,Enterprise Tech,2011,$161.00 Mn+,Bengaluru,Amit Narayan,India
Auxilo,Fintech,2017,$81.09 Mn+,Mumbai,Malala Yousafzai,India
Avail Finance,Fintech,2017,$40.95 Mn+,Bengaluru,"Ankush Aggarwal, Tushar Mehndiratta",India
Avanse Financial Services,Fintech,2013,$332.09 Mn+,Mumbai,Amit Gainda,India
Avanti Finance,Fintech,2017,$81.23 Mn+,Bengaluru,"Nandan Nilekani, Ratan Tata",India
Avataar,AI,2014,$52.00 Mn+,Bengaluru,"Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru",India
Avendus Wealth Management,,1999,$151.46 Mn+,Mumbai,,India
Avi Networks,Enterprise Tech,2012,$93.00 Mn+,Bengaluru,"Murali Basavaiah,Ranga Rajagopalan",India
Aviom India Housing Finance,Fintech,2016,$68.77 Mn+,New Delhi,"Kajal Ilmi,Samir Malik",India
Awfis,Real Estate Tech,2015,$134.61 Mn+,New Delhi,Amit Ramani,India
Awign,Consumer Services,2016,$44.96 Mn+,Bengaluru,"Annanya Sarthak, Gurpreet Singh, Praveen Sah",India
Axis Bank,,1994,$1.81 Bn+,Mumbai,,India
Ayana Renewable Power,Clean Tech,2017,$720.00 Mn+,Bengaluru,Shivanand Nimbargi,India
Aye Finance,Fintech,2014,$498.33 Mn+,Gurugram,"Sanjay Sharma, Vikram Jetley",India
Ayu Health,Health Tech,2019,$38.30 Mn+,Bengaluru,"Arjit Gupta, Himesh Joshi, Karan Gupta",India
BUGWORKS Research,Health Tech,2014,$42.89 Mn+,Bengaluru,"Anand Anandkumar, Bala Subramanian",India
BYJU'S,Edtech,2011,$5.97 Bn+,Bengaluru,"Byju Raveendran, Divya Gokulnath",India
Bacca Bucci,Ecommerce,2012,$2.50 Mn+,New Delhi,"Anuj Nevatia, Natwar Agrawal",India
Bachatt,Fintech,2024,$4.00 Mn+,New Delhi,"Ankur Jhavery, Anugrah Jain",India
BankBazaar,Fintech,2008,$127.00 Mn+,Chennai,"Adhil Shetty, Arjun Shetty, Rati Shetty",India
Battery Smart,Clean Tech,2019,$139.09 Mn+,Gurugram,"Pulkit Khurana, Siddharth Sikka",India
BeastLife,Ecommerce,2024,$222.52K+,Gurugram,"Gaurav Taneja, Raj Gupta",India
Beat22,Media & Entertainment,2019,,Gurugram,Kanav Singh Mehra,India
BeatO,Health Tech,2015,$47.60 Mn+,New Delhi,"Abhishek Kumar, Gautam Chopra, Kunal Kinalekar, Yash Sehgal",India
Better Nutrition,Ecommerce,2023,$1.16 Mn+,Lucknow,"Aishwarya Bhatnagar, Prateek Rastogi",India
BetterPlace,Enterprise Tech,2015,$90.09 Mn+,Bengaluru,"Pravin Agarwala, Saurabh Tandon",India
Bewakoof,Ecommerce,2012,$49.43 Mn+,Bengaluru,"Prabhkiran Singh, Shakeef Khan",India
Bhagva,Consumer Services,2022,$1.00 Mn+,New Delhi,Jagriti Motwani,India
BharatPe,Fintech,2018,$846.89 Mn+,Gurugram,"Ashneer seth Grover, Bhavik Koladiya, Shashvat Nakrani",India
BigBasket,Consumer Services,2011,$1.51 Bn+,Bengaluru,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar",India
Bijnis,Enterprise Tech,2015,$43.43 Mn+,New Delhi,"Chaitanya Rathi, Shubham Agarwal, Siddharth Rastogi, Siddharth Vij",India
Bike Bazaar,Ecommerce,2017,$104.59 Mn+,Pune,"Karunakaran Vadakkepat,Srinivas Kantheti",India
BillDesk,Fintech,2000,$307.50 Mn+,Mumbai,"Ajay Kaushal, Karthik Ganapathy, Srinivasu (Vasu) MN",India
Biorad Medisys,Health Tech,2007,$55.29 Mn+,Pune,"Suchitra Hegde, J M Hegde",India
Bira 91,Ecommerce,2015,$252.73 Mn+,New Delhi,Ankur Jain,India
Biryani Blues,Foodtech,2011,$12.00 Mn+,Gurugram,"Aparna Andrews,Raymond Andrews",India
Biryani By Kilo,Foodtech,2015,$53.24 Mn+,Gurugram,"Kaushik Roy, Ritesh Sinha, Vishal Jindal",India
Bizongo,Enterprise Tech,2015,$314.11 Mn+,Mumbai,"Aniket Deb, Ankit Tomar, Sachin Agrawal",India
BlackBuck,Enterprise Tech,2015,$381.14 Mn+,Bengaluru,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B",India
Blaize,Advanced Hardware & Technology,2010,$242.00 Mn+,Hyderabad,"Dinakar Munagala, Ke Yin, Satyaki Koneru, Val Cook",India
Blinkit,Consumer Services,2013,$784.14 Mn+,Gurugram,"Albinder Dhindsa, Saurabh Kumar",India
BluSmart,Travel Tech,2019,$182.05 Mn+,Gurugram,"Anmol Jaggi, Puneet Jaggi, Punit Goyal",India
Blue Tokai Coffee Roasters,Ecommerce,2013,$72.09 Mn+,Gurugram,"Matt Chitharanjan, Namrata Asthana, Shivam Shahi",India
BlueStone,Ecommerce,2011,$224.01 Mn+,Bengaluru,Gaurav Kushwaha,India
Bobble AI,Media & Entertainment,2015,$51.92 Mn+,Gurugram,"Ankit Prasad, Mohd Wassem, Rahul Prasad",India
Bombay Shaving Company,Ecommerce,2015,$48.77 Mn+,Gurugram,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande",India
BookMyShow,Media & Entertainment,2007,$224.50 Mn+,Mumbai,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",India
Borzo,Logistics,2012,$55.05 Mn+,Mumbai,"Aleks Shamis, Dmitry Zubkov, Mike Alexandrovski",India
Bounce,Clean Tech,2014,$234.16 Mn+,Bengaluru,"Anil G, Varun Agni, Vivekananda Hallekere",India
Bower School of Entrepreneurship,Edtech,2024,$1.33 Mn+,Hyderabad,Pavan Allena,India
Bright Money,Fintech,2019,$93.00 Mn+,Bengaluru,"Alexander Seyfert, Amit Bendale, Avi Patchava, Avinash Ramakanth, Petko Plachkov, Varun Modi",India
BrightChamps,Edtech,2020,$63.00 Mn+,Hyderabad,"Ravi Bhushan Kumar,Sitakanta Ray",India
Broadway,Ecommerce,2023,,Mumbai,"Vivek Biyani,Rana Daggubati,Anuj Kejriwal,Apurva Salarpuria",India
Brookfield India,Fintech,2021,$415.28 Mn+,Gurugram,Alok Aggrawal,India
BrowserStack,Enterprise Tech,2011,$250.00 Mn+,Mumbai,"Nakul Aggarwal, Ritesh Arora",India
Builder.ai,Enterprise Tech,2012,$379.50 Mn+,Gurugram,"Sachin Dev Duggal, Saurabh Dhoot",India
CASHe,Fintech,2016,$25.71 Mn+,Mumbai,V. Raman Kumar,India
CRED,Fintech,2018,$921.56 Mn+,Bengaluru,Kunal Shah,India
CallHealth,Health Tech,2015,$44.62 Mn+,Hyderabad,Sandhya Raju,India
Canpac Trends,Logistics,2011,$49.10 Mn+,Ahmedabad,Nilesh Todi,India
Capillary Technologies,Enterprise Tech,2012,$241.50 Mn+,Bengaluru,"Ajay Modani, Aneesh Reddy, Krishna Mehra",India
Capital Float,Fintech,2013,$233.45 Mn+,Bengaluru,"Gaurav Hinduja, Sashank Rishyasringa",India
Captain Fresh,Ecommerce,2019,$244.54 Mn+,Bengaluru,Utham Gowda,India
Capture Solar Energy Limited,Clean Tech,2013,$125.00 Mn+,Pune,Raju Shivaji Bhosale,India
